Model Year,Manufacturer,Model,Category,Fuel,Seats,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,PHEV Type,Total Range,All-Electric Range,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles per hour of charging),Charging Speed Level 2 (miles per hour of charging),Charging Speed DC Fast (miles per hour of charging),Battery Capacity (kWh),Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Drivetrain,Notes
2025,BMW,i5 eDrive40 Sedan,Sedan/Wagon,Electric,"","","",96-105,"","","",,"",271-295,11,195,4,33,463,84.0,,,e-motor,250 kW,,,,RWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i5 M60 xDrive Sedan,Sedan/Wagon,Electric,5,"","",84-90,"","","",,"",239-253,11,195,4,33,463,105.6,,,e-motor,190 and 230 kW ,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i5 xDrive40 Sedan,Sedan/Wagon,Electric,5,"","",87-93,"","","",,"",248-266,11,195,4,33,463,105.6,,,e-motor,192 and 250 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i7 eDrive50 Sedan,Sedan/Wagon,Electric,5,"","",85-88,"","","",,"",301-314,11,195,4,33,412,105.6,,,e-motor,335 kW,,,,RWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,i7 M70 xDrive Sedan,Sedan/Wagon,Electric,5,"","",75-79,"","","",,"",268-285,11,195,4,33,412,111.8,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 20"" and 21"" wheels"
2025,BMW,i7 xDrive60 Sedan,Sedan/Wagon,Electric,5,"","",83-88,"","","",,"",296-311,11,195,4,33,412,105.6,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,BMW,iX M60,SUV,Electric,5,"","",76-77,"","","",,"",284-285,11,195,3,28,393,111.8,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 21"" and 22"" wheels"
2025,BMW,iX xDrive40,SUV,Electric,5,"","",83-87,"","","",,"",211-219,11,195,3,28,393,111.8,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,BMW,iX xDrive50,SUV,Electric,5,"","",81-83,"","","",,"",302-309,11,195,3,28,393,111.8,,,e-motor,190 and 230 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,BMW,M340i Sedan,Sedan/Wagon,Hybrid Electric,"","","","",27,33,29,,"","","","","","","",,,,SI,3.0L,4,,,RWD,""
2025,BMW,M340i xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",26,33,29,,"","","","","","","",,,,SI,3.0L,4,,,AWD,""
2025,BMW,M440i Coupe/Convertible,Sedan/Wagon,Hybrid Electric,"","","","","","",29-30,,"","","","","","","",,,,SI,3.0L,4,,,RWD,"Includes Coupe, Gran Coupe, and Convertible models"
2025,BMW,M440i xDrive Coupe/Convertible,Sedan/Wagon,Hybrid Electric,"","","","","","",28-29,,"","","","","","","",,,,SI,3.0L,4,,,AWD,"Includes Coupe, Gran Coupe, and Convertible models"
2025,BMW,X3 M50i xDrive,SUV,Hybrid Electric,"","","","",25,30,27,,"","","","","","","",,,,SI,3.0L,4,,,AWD,""
2025,BMW,X3 xDrive30i,SUV,Hybrid Electric,"","","","",27,33,29,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,BMW,X4 M40i,SUV,Hybrid Electric,"","","","",22,26,23,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,BMW,X5 M60i xDrive,SUV,Hybrid Electric,"","","","",17,22,19,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,X5 M Competition,SUV,Hybrid Electric,"","","","",13,18,15,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,X5 sDrive40i,SUV,Hybrid Electric,"","","","",23,27,25,,"","","","","","","",,,,SI,3.0L,6,,,RWD,""
2025,BMW,X5 xDrive40i,SUV,Hybrid Electric,"","","","",23,27,25,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,BMW,X6 M60i xDrive,SUV,Hybrid Electric,"","","","",17,22,19,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,X6 M Competition,SUV,Hybrid Electric,"","","","",13,18,15,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,X6 xDrive40i,SUV,Hybrid Electric,"","","","",23,26,24,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,BMW,X7 M60i xDrive,SUV,Hybrid Electric,"","","","",16,20,18,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,X7 xDrive40i,SUV,Hybrid Electric,"","","","",20,24,22,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Bugatti Rimac,Nevera,Sedan/Wagon,Electric,"",52,54,53,"","","",,"",204,"","","","","",153.6,,,e-motor,226 (x2) and 450 (x2) kW,,,,4WD,""
2025,Buick,Encore GX FWD,SUV,Ethanol (E85),"",22,23,22,30,31,30,,"","","","","","","",,,,SI,1.2L,3,,,FWD,""
2025,Buick,Envista,Sedan/Wagon,Ethanol (E85),"",20,24,22,28,32,30,,"","","","","","","",,,,SI,1.2L,3,,,FWD,""
2025,Chevrolet,Blazer EV AWD,SUV,Electric,5,102,87,95,"","","",,"",283,11.5,150-190,3,33,342,97.4,,,e-motor,67 and 180 kW,,,,AWD,""
2025,Chevrolet,Corvette E-RAY,Sedan/Wagon,Hybrid Electric,"","","","",16,24,19,,"","","","","","","",,,,SI,6.2L,8,,,AWD,""
2025,Chevrolet,Silverado 2WD,Pickup,Biodiesel (B20),"","","","",23,29,26,,"","","","","","","",,,,CI,3.0L,6,,,RWD,""
2025,Chevrolet,Silverado 4WD,Pickup,Biodiesel (B20),"","","","","","",22-24,,"","","","","","","",,,,CI,3.0L,6,,,4WD,Includes Sport Mode models and models with mud terrain tires
2025,Chevrolet,Silverado 4WD,Pickup,Ethanol (E85),"",11,14,12,15,19,17,,"","","","","","","",,,,SI,5.3L,8,,,4WD,Includes models with mud terrain tires
2025,Chevrolet,Trailblazer FWD,SUV,Ethanol (E85),"",22,23,22,30,31,30,,"","","","","","","",,,,SI,1.2L,3,,,FWD,""
2025,Chevrolet,Trax,Sedan/Wagon,Ethanol (E85),"",21,24,22,28,32,30,,"","","","","","","",,,,SI,1.2L,3,,,FWD,""
2025,Ford,Escape AWD HEV,SUV,Hybrid Electric,"","","","",42,36,39,,"","","","","","","",,,,SI,2.5L I4,4,,,Part-Time 4WD,""
2025,Ford,Escape FWD HEV,SUV,Hybrid Electric,"","","","",42,36,39,,"","","","","","","",,,,SI,2.5L I4,4,,,FWD,""
2025,Genesis,Electrified G80,Sedan/Wagon,Electric,5,105,89,97,"","","",,"",282,11,230,3,32,530,87.2,,,e-motor,136 kW (x2),,,,AWD,""
2025,Genesis,Electrified GV70,SUV,Electric,5,98,83,91,"","","",,"",236,11,230,3,29,497,77.4,,,e-motor,74 and 160 kW,,,,AWD,""
2025,Genesis,G90 MHEV,Sedan/Wagon,Hybrid Electric,"","","","",17,24,20,,"","","","","","","",,,,SI,3.5L,6,,,AWD,""
2025,Genesis,GV60 Advanced/Performance,SUV,Electric,5,"","",90-100,"","","",,"",235-264,11,230,3,29,491,77.5,,,e-motor,74 and 160 kW,,,,AWD,"Includes models with 19"" and 20"" wheels
"
2025,Genesis,GV60 RWD,SUV,Electric,5,125,99,112,"","","",,"",294,11,230,3,29,491,77.5,,,e-motor,168 kW ,,,,RWD,""
2025,Genesis,GV80 MHEV,SUV,Hybrid Electric,"","","","",18,22,20,,"","","","","","","",,,,SI,3.5L,6,,,AWD,""
2025,GMC,Hummer EV Pickup,Pickup,Electric,5,"","",47-53,"","","",,"",289-318,19,300,2,28,356,194.9,,,e-motor,195 and 215 kW,,,,AWD,Includes models with MT tires
2025,GMC,Hummer EV Pickup,Pickup,Electric,5,58,46,52,"","","",,"",312,19,300,2,28,356,194.9,,,e-motor,198 kW (x3),,,,AWD,""
2025,GMC,Hummer EV SUV,SUV,Electric,5,"","",47-53,"","","",,"",282-315,19,300,2,30,377,194.9,,,e-motor,195 and 215 kW,,,,AWD,Includes models with MT tires
2025,GMC,Hummer EV SUV,SUV,Electric,5,"","",48-52,"","","",,"",289-312,19,300,2,30,377,194.9,,,e-motor,195 (x2) and 215 kW,,,,AWD,Includes models with MT tires
2025,GMC,Sierra 2WD,Pickup,Biodiesel (B20),"","","","",23,29,25,,"","","","","","","",,,,CI,3.0L,6,,,RWD,""
2025,GMC,Sierra 4WD,Pickup,Ethanol (E85),"",11,14,12,15,19,17,,"","","","","","","",,,,SI,5.3L,8,,,4WD,Includes models with mud terrain tires
2025,GMC,Sierra 4WD,Pickup,Biodiesel (B20),"","","","","","",19-24,,"","","","","","","",,,,CI,3.0L,6,,,4WD,Includes AT4X and Sport Mode models and models with mud terrain tires
2025,Honda,Accord,Sedan/Wagon,Hybrid Electric,"","","","","","",44-48,,"","","","","","","",,,,SI,2.0L,4,,,FWD,Includes Sport/Touring models
2025,Honda,CIVIC 4Dr/5Dr,Sedan/Wagon,Hybrid Electric,"","","","","","",48-49,,"","","","","","","",,,,SI,2.0L,4,,,FWD,""
2025,Honda,CR-V AWD,SUV,Hybrid Electric,"","","","",40,34,37,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Honda,CR-V FWD,SUV,Hybrid Electric,"","","","",43,36,40,,"","","","","","","",,,,SI,2.0L,4,,,FWD,""
2025,Hyundai,Elantra Hybrid/Hybrid Blue,Sedan/Wagon,Hybrid Electric,"","","","","","",50-54,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Hyundai,Ioniq 5 N,SUV,Electric,5,84,72,78,"","","",,"",221,11,199,4,35,503,84.1,,,e-motor,166 and 282 kW,,,,AWD,""
2025,Hyundai,Ioniq 6 AWD,Sedan/Wagon,Electric,5,"","",103-121,"","","",,"",270-316,11,221,4,34,554,77.4,,,e-motor,74 and 165 kW,,,,AWD,"Includes models with 18"" and 20"" wheels"
2025,Hyundai,Ioniq 6 RWD,Sedan/Wagon,Electric,5,"","",111-132,"","","",,"",291-342,11,221,4,34,554,77.4,,,e-motor,168 kW,,,,RWD,"Includes models with 18"" and 20"" wheels"
2025,Hyundai,Ioniq 6 Standard Range,Sedan/Wagon,Electric,5,151,120,135,"","","",,"",240,11,221,4,34,554,53.3,,,e-motor,111 kW,,,,RWD,""
2025,Hyundai,Kona Electric,SUV,Electric,5,"","",103-116,"","","",,"",230-261,11,100,4,25,208,64.8,,,e-motor,150 kW,,,,FWD,"Includes Standard and long-range models with 17"" and 19"" wheels"
2025,Hyundai,Kona Electric Standard Range,SUV,Electric,5,113,105,118,"","","",,"",200,11,100,4,25,208,48.5,,,e-motor,99 kW,,,,FWD,""
2025,Hyundai,Santa Fe Hybrid AWD,SUV,Hybrid Electric,"","","","",35,34,34,,"","","","","","","",,,,SI,1.6L,4,,,AWD,""
2025,Hyundai,Santa Fe Hybrid FWD,SUV,Hybrid Electric,"","","","",36,35,36,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Hyundai,Sonata Hybrid,Sedan/Wagon,Hybrid Electric,"","","","",44,51,47,,"","","","","","","",,,,SI,2.0L,4,,,FWD,""
2025,Hyundai,Tucson Hybrid/Hybrid Blue,SUV,Hybrid Electric,"","","","","","",37-38,,"","","","","","","",,,,SI,1.6L,4,,,4WD,""
2025,Jaguar,F-PACE MHEV,SUV,Hybrid Electric,"","","","",19,25,21,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Kia,Carnival Hybrid,Van,Hybrid Electric,"","","","",34,31,33,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Kia,EV9 Long Range AWD,SUV,Electric,6,"","",80-83,"","","",,"",270-280,11,200,3,27,399,99.9,,,e-motor,141 (x2),,,,AWD,Includes GT-Line model
2025,Kia,EV9 Long Range RWD,SUV,Electric,6,100,78,89,"","","",,"",304,11,200,3,27,399,99.9,,,e-motor,160 kW,,,,RWD,""
2025,Kia,EV9 Standard Range RWD,SUV,Electric,6,99,77,88,"","","",,"",230,11,200,3,27,399,76.2,,,e-motor,160 kW,,,,RWD,""
2025,Kia,Niro Electric,SUV,Electric,5,126,101,113,"","","",,"",253,7.2,75,4,24,199,64.8,,,e-motor,150 kW,,,,FWD,""
2025,Kia,NIro/Niro FE,SUV,Hybrid Electric,"","","","","","",49-53,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Kia,Sorento Hybrid AWD,SUV,Hybrid Electric,"","","","",34,34,34,,"","","","","","","",,,,SI,1.6L,4,,,AWD,""
2025,Kia,Sorento Hybrid FWD,SUV,Hybrid Electric,"","","","",36,36,36,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Kia,Sportage Hybrid AWD,SUV,Hybrid Electric,"","","","",38,38,38,,"","","","","","","",,,,SI,1.6L,4,,,AWD,""
2025,Kia,Sportage Hybrid FWD,SUV,Hybrid Electric,"","","","",42,44,43,,"","","","","","","",,,,SI,1.6L,4,,,FWD,""
2025,Lamborghini,Revuelto,SUV,Hybrid Electric,"","","","",10,17,12,,"","","","","","","",,,,SI,6.5L,12,,,4WD,""
2025,Land Rover,Defender 110 MHEV,SUV,Hybrid Electric,"","","","",18,20,19,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Defender 130 MHEV/Outbound,SUV,Hybrid Electric,"","","","","","",18-19,,"","","","","","","",,,,SI,3.0L,6,,,4WD,"Includes P300, P400, and Outbound models"
2025,Land Rover,Defender 90 MHEV,SUV,Hybrid Electric,"","","","",18,21,19,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Discovery MHEV,SUV,Hybrid Electric,"","","","",17,23,19,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Range Rover P400 LWB MHEV,SUV,Hybrid Electric,"","","","",19,24,21,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Range Rover P400 MHEV,SUV,Hybrid Electric,"","","","",19,24,21,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Range Rover Sport P360/P400 MHEV,SUV,Hybrid Electric,"","","","","","",22,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Land Rover,Range Rover Sport/SVR MHEV,SUV,Hybrid Electric,"","","","","","",18-19,,"","","","","","","",,,,SI,4.4L,8,,,4WD,Includes standard and SVR models
2025,Land Rover,Range Rover/SV LWB MHEV,SUV,Hybrid Electric,"","","","",16,22,18,,"","","","","","","",,,,SI,4.4L,8,,,4WD,Includes standard and SV models
2025,Land Rover,Range Rover/SV MHEV,SUV,Hybrid Electric,"","","","",16,22,18,,"","","","","","","",,,,SI,4.4L,8,,,4WD,Includes standard and SV models
2025,Land Rover,Range Rover Velar P340/P400 MHEV,SUV,Hybrid Electric,"","","","","","",21-22,,"","","","","","","",,,,SI,3.0L,6,,,4WD,""
2025,Lexus,ES 300h,Sedan/Wagon,Hybrid Electric,"","","","",43,44,44,,"","","","","","","",,,,SI,2.5L,4,,,FWD,""
2025,Lexus,NX 350h AWD,SUV,Hybrid Electric,"","","","",41,37,39,,"","","","","","","",,,,SI,2.5L,4,,,AWD,""
2025,Lexus,UX 300h,Sedan/Wagon,Hybrid Electric,"","","","",45,41,43,,"","","","","","","",,,,SI,2.0L,4,,,FWD,""
2025,Lexus,UX 300h AWD,Sedan/Wagon,Hybrid Electric,"","","","",44,40,42,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Lincoln,Nautilus HEV AWD,SUV,Hybrid Electric,"","","","",30,31,30,,"","","","","","","",,,,SI,2.0L,4,,,Part-Time 4WD,""
2025,Lucid,Air G Touring XR AWD,Sedan/Wagon,Electric,5,"","",112-128,"","","",,"",446-512,19,300,4,69,876,136.8,,,e-motor,178 and 433 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,Lucid,Air Pure RWD,Sedan/Wagon,Electric,5,"","",129-146,"","","",,"",372-420,19,300,4,69,876,84.1,,,e-motor,330 kW,,,,RWD,"Includes models with 19"" and 20"" wheels"
2025,Lucid,Air Sapphire AWD,Sedan/Wagon,Electric,5,108,101,105,"","","",,"",427,19,300,4,69,876,116.8,,,e-motor,310 kW (x3),,,,AWD,""
2025,Lucid,Air Touring AWD,Sedan/Wagon,Electric,5,"","",116-132,"","","",,"",361-406,19,300,4,69,876,116.8,,,e-motor,178 and 433 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2025,Maserati,Grecale Folgore,SUV,Electric,"","","",62-75,"","","",,"",206-245,"","","","","",57.6,,,e-motor,205 kW (x2),,,,AWD,"Includes models with 20"" and 21"" wheels"
2025,Maserati,Grecale Modena,SUV,Hybrid Electric,"","","","",22,28,24,,"","","","","","","",,,,"",2.0L,4,,,AWD,""
2025,Mazda,CX-70 4WD,SUV,Hybrid Electric,"","","","","","",25,,"","","","","","","",,,,SI,3.3L,6,,,4WD,Includes regular and premium gasoline models
2025,Mazda,CX-90 4WD,SUV,Hybrid Electric,"","","","","","",25,,"","","","","","","",,,,SI,3.3L,6,,,4WD,Includes regular and premium gasoline models
2025,Mercedes-Benz,AMG C 43 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",19,27,22,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,AMG CLA 35 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",22,29,25,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,AMG CLE 53 4MATIC+,Sedan/Wagon,Hybrid Electric,"","","","","","",22-23,,"","","","","","","",,,,SI,3.0L,6,,,AWD,Includes Coupe and Convertible models
2025,Mercedes-Benz,AMG EQE 4MATIC+,Sedan/Wagon,Electric,5,69,71,70,"","","",,"",220,9.6,170,3,27,456,95.8,,,e-motor,165 kW (x2),,,,AWD,""
2025,Mercedes-Benz,AMG EQE 4MATIC+ (SUV),SUV,Electric,5,76,72,74,"","","",,"",230,9.6,170,3,27,456,95.8,,,e-motor,165 and 295 kW,,,,AWD,""
2025,Mercedes-Benz,AMG EQS 4MATIC+,Sedan/Wagon,Electric,5,76,81,78,"","","",,"",315,9.6,200,4,29,489,122.0,,,e-motor,174 and 310 kW,,,,AWD,""
2025,Mercedes-Benz,AMG G 63,SUV,Hybrid Electric,"","","","",14,16,15,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Mercedes-Benz,AMG GLA 35 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",22,28,24,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,AMG GLB 35 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",21,26,23,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,AMG GLC 43 4MATIC,SUV,Hybrid Electric,"","","","","","",21,,"","","","","","","",,,,SI,2.0L,4,,,AWD,Includes standard and Coupe models
2025,Mercedes-Benz,AMG GLE 53 4MATIC+,SUV,Hybrid Electric,"","","","","","",20,,"","","","","","","",,,,SI,3.0L,6,,,AWD,Includes standard and Coupe models
2025,Mercedes-Benz,AMG GLE 63 S 4MATIC+,SUV,Hybrid Electric,"","","","","","",16,,"","","","","","","",,,,SI,4.0L,8,,,AWD,Includes standard and Coupe models
2025,Mercedes-Benz,AMG GLS 63 4MATIC+,SUV,Hybrid Electric,"","","","",14,18,15,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Mercedes-Benz,AMG GT 43,Sedan/Wagon,Hybrid Electric,"","","","",19,27,22,,"","","","","","","",,,,SI,2.0L,4,,,RWD,""
2025,Mercedes-Benz,AMG SL 43,Sedan/Wagon,Hybrid Electric,"","","","",19,27,22,,"","","","","","","",,,,SI,2.0L,4,,,RWD,""
2025,Mercedes-Benz,C 300,Sedan/Wagon,Hybrid Electric,"","","","",25,35,29,,"","","","","","","",,,,SI,2.0L,4,,,RWD,""
2025,Mercedes-Benz,C 300 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",24,33,27,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,CLA 250,Sedan/Wagon,Hybrid Electric,"","","","",26,36,30,,"","","","","","","",,,,SI,2.0L,4,,,FWD,""
2025,Mercedes-Benz,CLA 250 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","",25,34,29,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Mercedes-Benz,CLE 300 4MATIC,Sedan/Wagon,Hybrid Electric,"","","","","","",26-27,,"","","","","","","",,,,SI,2.0L,4,,,AWD,Includes Coupe and Convertible models
