indicator_id,name,measure,geo_type_name,geo_join_id,data_value,geo_place_name,measure_info,time_period,message,start_date,unique_id
375,Nitrogen dioxide (NO2),Mean,UHF42,207,16.3,East Flatbush - Flatbush,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643357
375,Nitrogen dioxide (NO2),Mean,CD,209,21.5,Parkchester and Soundview (CD9),ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643611
375,Nitrogen dioxide (NO2),Mean,CD,412,13.6,Jamaica and Hollis (CD12),ppb,Summer 2014,,2014-06-01T00:00:00.000,213453
375,Nitrogen dioxide (NO2),Mean,CD,412,20.9,Jamaica and Hollis (CD12),ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741283
365,Fine particles (PM 2.5),Mean,CD,106,12.3,Stuyvesant Town and Turtle Bay (CD6),mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,170405
365,Fine particles (PM 2.5),Mean,CD,109,14.5,Morningside Heights and Hamilton Heights (CD9),mcg/m3,Winter 2010-11,,2010-12-01T00:00:00.000,168520
365,Fine particles (PM 2.5),Mean,CD,307,13.6,Sunset Park (CD7),mcg/m3,Winter 2010-11,,2010-12-01T00:00:00.000,168542
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,407,16.0,Southwest Queens,"per 100,000 adults",2017-2019,,2017-01-01T00:00:00.000,827393
365,Fine particles (PM 2.5),Mean,CD,211,7.4,Morris Park and Bronxdale (CD11),mcg/m3,Annual Average 2016,,2015-12-31T00:00:00.000,411034
375,Nitrogen dioxide (NO2),Mean,UHF42,305,25.0,Upper East Side,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549827
375,Nitrogen dioxide (NO2),Mean,UHF42,407,20.4,Southwest Queens,ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643422
375,Nitrogen dioxide (NO2),Mean,CD,212,18.0,Williamsbridge and Baychester (CD12),ppb,Annual Average 2013,,2012-12-01T00:00:00.000,167768
365,Fine particles (PM 2.5),Mean,UHF42,211,9.2,Williamsburg - Bushwick,mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742214
375,Nitrogen dioxide (NO2),Mean,UHF42,306,25.0,Chelsea - Clinton,ppb,Summer 2016,,2016-06-01T00:00:00.000,412497
375,Nitrogen dioxide (NO2),Mean,CD,410,17.7,South Ozone Park and Howard Beach (CD10),ppb,Summer 2009,,2009-06-01T00:00:00.000,166675
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,310,57.2,Lower Manhattan,"per 100,000 children",2009-2011,,2009-01-01T00:00:00.000,131438
375,Nitrogen dioxide (NO2),Mean,CD,202,17.2,Hunts Point and Longwood (CD2),ppb,Summer 2013,,2013-06-01T00:00:00.000,166873
375,Nitrogen dioxide (NO2),Mean,CD,305,21.0,East New York and Starrett City (CD5),ppb,Winter 2021-22,,2021-12-01T00:00:00.000,826045
375,Nitrogen dioxide (NO2),Mean,CD,110,25.8,Central Harlem (CD10),ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412685
640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,102,2.2,Northeast Bronx,number,2013,,2013-01-01T00:00:00.000,130398
375,Nitrogen dioxide (NO2),Mean,UHF42,107,21.9,Hunts Point - Mott Haven,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,740911
375,Nitrogen dioxide (NO2),Mean,CD,212,21.7,Williamsbridge and Baychester (CD12),ppb,Winter 2011-12,,2011-12-01T00:00:00.000,165939
375,Nitrogen dioxide (NO2),Mean,UHF42,304,15.7,Upper West Side,ppb,Summer 2021,,2021-06-01T00:00:00.000,740957
640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,103,24.5,Fordham - Bronx Pk,number,2013,,2013-01-01T00:00:00.000,130399
365,Fine particles (PM 2.5),Mean,CD,410,9.7,South Ozone Park and Howard Beach (CD10),mcg/m3,Summer 2013,,2013-06-01T00:00:00.000,169566
375,Nitrogen dioxide (NO2),Mean,CD,303,20.8,Bedford Stuyvesant (CD3),ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412738
365,Fine particles (PM 2.5),Mean,Borough,4,11.5,Queens,mcg/m3,Summer 2010,,2010-06-01T00:00:00.000,179576
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,303,241.3,East Harlem,"per 100,000 children",2012-2014,,2012-01-02T00:00:00.000,518908
365,Fine particles (PM 2.5),Mean,UHF42,404,8.8,Bayside - Little Neck,mcg/m3,Winter 2014-15,,2014-12-01T00:00:00.000,334047
375,Nitrogen dioxide (NO2),Mean,Borough,4,17.9,Queens,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549755
375,Nitrogen dioxide (NO2),Mean,CD,209,22.2,Parkchester and Soundview (CD9),ppb,Winter 2021-22,,2021-12-01T00:00:00.000,826021
375,Nitrogen dioxide (NO2),Mean,UHF42,105,17.8,Crotona -Tremont,ppb,Summer 2014,,2014-06-01T00:00:00.000,212420
375,Nitrogen dioxide (NO2),Mean,UHF42,201,26.8,Greenpoint,ppb,Winter 2014-15,,2014-12-01T00:00:00.000,336513
375,Nitrogen dioxide (NO2),Mean,UHF42,308,17.9,Greenwich Village - SoHo,ppb,Summer 2021,,2021-06-01T00:00:00.000,740969
375,Nitrogen dioxide (NO2),Mean,Borough,4,18.7,Queens,ppb,Annual Average 2013,,2012-12-01T00:00:00.000,179441
375,Nitrogen dioxide (NO2),Mean,UHF42,106,28.7,High Bridge - Morrisania,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,212295
365,Fine particles (PM 2.5),Mean,UHF42,305,11.2,Upper East Side,mcg/m3,Annual Average 2012,,2011-12-01T00:00:00.000,178547
375,Nitrogen dioxide (NO2),Mean,CD,304,20.3,Bushwick (CD4),ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336802
650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,107,25.5,Hunts Point - Mott Haven,"per 100,000 adults",2012-2014,,2012-01-02T00:00:00.000,518798
365,Fine particles (PM 2.5),Mean,CD,402,10.9,Woodside and Sunnyside (CD2),mcg/m3,Winter 2014-15,,2014-12-01T00:00:00.000,334314
365,Fine particles (PM 2.5),Mean,UHF42,102,7.1,Northeast Bronx,mcg/m3,Summer 2022,,2022-06-01T00:00:00.000,823322
375,Nitrogen dioxide (NO2),Mean,UHF42,303,22.4,East Harlem,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549821
375,Nitrogen dioxide (NO2),Mean,Borough,1,23.9,Bronx,ppb,Winter 2014-15,,2014-12-01T00:00:00.000,336477
375,Nitrogen dioxide (NO2),Mean,CD,210,13.6,Throgs Neck and Co-op City (CD10),ppb,Summer 2013,,2013-06-01T00:00:00.000,166881
365,Fine particles (PM 2.5),Mean,UHF34,409,8.2,Southeast Queens,mcg/m3,Winter 2014-15,,2014-12-01T00:00:00.000,334155
375,Nitrogen dioxide (NO2),Mean,UHF42,408,13.1,Jamaica,ppb,Summer 2016,,2016-06-01T00:00:00.000,412533
375,Nitrogen dioxide (NO2),Mean,UHF42,107,18.8,Hunts Point - Mott Haven,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643336
375,Nitrogen dioxide (NO2),Mean,CD,209,13.5,Parkchester and Soundview (CD9),ppb,Summer 2018,,2018-06-01T00:00:00.000,602994
365,Fine particles (PM 2.5),Mean,CD,414,9.4,Rockaway and Broad Channel (CD14),mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,169511
365,Fine particles (PM 2.5),Mean,CD,212,8.7,Williamsbridge and Baychester (CD12),mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,170423
365,Fine particles (PM 2.5),Mean,UHF42,410,7.0,Rockaways,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605776
375,Nitrogen dioxide (NO2),Mean,UHF42,107,26.8,Hunts Point - Mott Haven,ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602722
375,Nitrogen dioxide (NO2),Mean,UHF42,304,22.8,Upper West Side,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,740956
375,Nitrogen dioxide (NO2),Mean,CD,413,20.2,Queens Village (CD13),ppb,Winter 2019-20,,2019-12-01T00:00:00.000,667844
365,Fine particles (PM 2.5),Mean,Borough,2,8.7,Brooklyn,mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,179664
365,Fine particles (PM 2.5),Mean,UHF42,305,10.2,Upper East Side,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,334018
365,Fine particles (PM 2.5),Mean,UHF42,204,7.1,East New York,mcg/m3,Annual Average 2018,,2018-01-01T00:00:00.000,605693
375,Nitrogen dioxide (NO2),Mean,CD,404,19.4,Elmhurst and Corona (CD4),ppb,Summer 2013,,2013-06-01T00:00:00.000,166905
375,Nitrogen dioxide (NO2),Mean,CD,404,28.7,Elmhurst and Corona (CD4),ppb,Winter 2009-10,,2009-12-01T00:00:00.000,165843
375,Nitrogen dioxide (NO2),Mean,CD,202,24.5,Hunts Point and Longwood (CD2),ppb,Winter 2018-19,,2018-12-01T00:00:00.000,643590
375,Nitrogen dioxide (NO2),Mean,CD,305,24.1,East New York and Starrett City (CD5),ppb,Winter 2017-18,,2017-12-01T00:00:00.000,603019
375,Nitrogen dioxide (NO2),Mean,UHF42,207,19.0,East Flatbush - Flatbush,ppb,Summer 2010,,2010-06-01T00:00:00.000,175934
365,Fine particles (PM 2.5),Mean,UHF42,403,10.2,Flushing - Clearview,mcg/m3,Summer 2009,,2009-06-01T00:00:00.000,177799
375,Nitrogen dioxide (NO2),Mean,CD,411,16.8,Bayside and Little Neck (CD11),ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412816
365,Fine particles (PM 2.5),Mean,UHF42,209,10.0,Bensonhurst - Bay Ridge,mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,177910
375,Nitrogen dioxide (NO2),Mean,UHF42,304,23.9,Upper West Side,ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336553
375,Nitrogen dioxide (NO2),Mean,CD,201,16.5,Mott Haven and Melrose (CD1),ppb,Summer 2019,,2019-06-01T00:00:00.000,643586
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,207,49.9,East Flatbush - Flatbush,"per 100,000 adults",2012-2014,,2012-01-02T00:00:00.000,518949
375,Nitrogen dioxide (NO2),Mean,UHF42,305,28.6,Upper East Side,ppb,Annual Average 2013,,2012-12-01T00:00:00.000,176699
375,Nitrogen dioxide (NO2),Mean,CD,202,24.5,Hunts Point and Longwood (CD2),ppb,Winter 2021-22,,2021-12-01T00:00:00.000,826000
365,Fine particles (PM 2.5),Mean,CD,207,9.4,Kingsbridge Heights and Bedford (CD7),mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,170418
375,Nitrogen dioxide (NO2),Mean,UHF42,410,11.4,Rockaways,ppb,Annual Average 2021,,2021-01-01T00:00:00.000,741006
375,Nitrogen dioxide (NO2),Mean,UHF42,204,23.3,East New York,ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412457
375,Nitrogen dioxide (NO2),Mean,Borough,1,12.2,Bronx,ppb,Summer 2022,,2022-06-01T00:00:00.000,825811
375,Nitrogen dioxide (NO2),Mean,CD,301,17.0,Greenpoint and Williamsburg (CD1),ppb,Summer 2015,,2015-06-01T00:00:00.000,336794
375,Nitrogen dioxide (NO2),Mean,CD,410,19.0,South Ozone Park and Howard Beach (CD10),ppb,Annual Average 2013,,2012-12-01T00:00:00.000,167796
375,Nitrogen dioxide (NO2),Mean,CD,109,22.4,Morningside Heights and Hamilton Heights (CD9),ppb,Annual Average 2017,,2017-01-01T00:00:00.000,550016
375,Nitrogen dioxide (NO2),Mean,UHF42,208,15.6,Canarsie - Flatlands,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549803
365,Fine particles (PM 2.5),Mean,UHF42,211,9.4,Williamsburg - Bushwick,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605716
375,Nitrogen dioxide (NO2),Mean,CD,108,28.1,Upper East Side (CD8),ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412679
375,Nitrogen dioxide (NO2),Mean,UHF42,306,36.3,Chelsea - Clinton,ppb,Annual Average 2011,,2010-12-01T00:00:00.000,176616
365,Fine particles (PM 2.5),Mean,UHF34,301,7.8,Washington Heights,mcg/m3,Annual Average 2017,,2017-01-01T00:00:00.000,547540
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,303,299.4,East Harlem,"per 100,000 children",2009-2011,,2009-01-01T00:00:00.000,131431
375,Nitrogen dioxide (NO2),Mean,CD,414,14.2,Rockaway and Broad Channel (CD14),ppb,Annual Average 2011,,2010-12-01T00:00:00.000,167682
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,107,138.1,Hunts Point - Mott Haven,"per 100,000 adults",2009-2011,,2009-01-01T00:00:00.000,131369
375,Nitrogen dioxide (NO2),Mean,UHF34,211,23.1,Williamsburg - Bushwick,ppb,Summer 2009,,2009-06-01T00:00:00.000,172083
375,Nitrogen dioxide (NO2),Mean,UHF42,202,22.2,Downtown - Heights - Slope,ppb,Summer 2011,,2011-06-01T00:00:00.000,175971
375,Nitrogen dioxide (NO2),Mean,CD,103,24.3,Lower East Side and Chinatown (CD3),ppb,Summer 2012,,2012-06-01T00:00:00.000,166803
365,Fine particles (PM 2.5),Mean,CD,106,13.3,Stuyvesant Town and Turtle Bay (CD6),mcg/m3,Summer 2013,,2013-06-01T00:00:00.000,169520
375,Nitrogen dioxide (NO2),Mean,UHF42,201,21.4,Greenpoint,ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412450
375,Nitrogen dioxide (NO2),Mean,UHF42,203,23.1,Bedford Stuyvesant - Crown Heights,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,740920
375,Nitrogen dioxide (NO2),Mean,CD,304,18.2,Bushwick (CD4),ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643630
375,Nitrogen dioxide (NO2),Mean,CD,410,21.1,South Ozone Park and Howard Beach (CD10),ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741277
375,Nitrogen dioxide (NO2),Mean,CD,303,20.0,Bedford Stuyvesant (CD3),ppb,Annual Average 2018,,2018-01-01T00:00:00.000,603011
375,Nitrogen dioxide (NO2),Mean,CD,412,18.5,Jamaica and Hollis (CD12),ppb,Summer 2009,,2009-06-01T00:00:00.000,166677
375,Nitrogen dioxide (NO2),Mean,CD,413,20.1,Queens Village (CD13),ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741286
375,Nitrogen dioxide (NO2),Mean,CD,404,23.0,Elmhurst and Corona (CD4),ppb,Summer 2009,,2009-06-01T00:00:00.000,166669
375,Nitrogen dioxide (NO2),Mean,UHF34,103,19.2,Fordham - Bronx Pk,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549893
365,Fine particles (PM 2.5),Mean,CD,414,10.3,Rockaway and Broad Channel (CD14),mcg/m3,Winter 2010-11,,2010-12-01T00:00:00.000,168567
365,Fine particles (PM 2.5),Mean,UHF42,204,9.7,East New York,mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,177905
365,Fine particles (PM 2.5),Mean,CD,103,8.4,Lower East Side and Chinatown (CD3),mcg/m3,Annual Average 2017,,2017-01-01T00:00:00.000,547606
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,302,291.1,Central Harlem - Morningside Heights,"per 100,000 children",2009-2011,,2009-01-01T00:00:00.000,131430
375,Nitrogen dioxide (NO2),Mean,CD,104,32.1,Clinton and Chelsea (CD4),ppb,Winter 2019-20,,2019-12-01T00:00:00.000,667538
365,Fine particles (PM 2.5),Mean,UHF42,209,7.1,Bensonhurst - Bay Ridge,mcg/m3,Annual Average 2017,,2017-01-01T00:00:00.000,547414
375,Nitrogen dioxide (NO2),Mean,UHF42,306,28.4,Chelsea - Clinton,ppb,Summer 2014,,2014-06-01T00:00:00.000,212439
375,Nitrogen dioxide (NO2),Mean,UHF34,202,21.1,Downtown - Heights - Slope,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549902
657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,308,7.2,Greenwich Village - SoHo,"per 100,000 adults",2012-2014,,2012-01-02T00:00:00.000,518961
365,Fine particles (PM 2.5),Mean,CD,413,5.8,Queens Village (CD13),mcg/m3,Annual Average 2020,,2020-01-01T00:00:00.000,669970
365,Fine particles (PM 2.5),Mean,UHF42,208,7.7,Canarsie - Flatlands,mcg/m3,Summer 2019,,2019-06-01T00:00:00.000,649706
365,Fine particles (PM 2.5),Mean,CD,209,12.0,Parkchester and Soundview (CD9),mcg/m3,Summer 2010,,2010-06-01T00:00:00.000,169358
386,Ozone (O3),Mean,UHF42,208,35.8,Canarsie - Flatlands,ppb,Summer 2016,,2016-06-01T00:00:00.000,412008
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,403,38.0,Flushing - Clearview,"per 100,000 children",2009-2011,,2009-01-01T00:00:00.000,131441
365,Fine particles (PM 2.5),Mean,CD,413,6.3,Queens Village (CD13),mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742557
365,Fine particles (PM 2.5),Mean,CD,207,8.7,Kingsbridge Heights and Bedford (CD7),mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742448
375,Nitrogen dioxide (NO2),Mean,CD,412,18.0,Jamaica and Hollis (CD12),ppb,Summer 2010,,2010-06-01T00:00:00.000,166736
365,Fine particles (PM 2.5),Mean,CD,412,6.7,Jamaica and Hollis (CD12),mcg/m3,Annual Average 2018,,2018-01-01T00:00:00.000,606053
365,Fine particles (PM 2.5),Mean,UHF42,304,8.5,Upper West Side,mcg/m3,Annual Average 2016,,2015-12-31T00:00:00.000,410800
375,Nitrogen dioxide (NO2),Mean,CD,111,21.6,East Harlem (CD11),ppb,Winter 2021-22,,2021-12-01T00:00:00.000,825820
365,Fine particles (PM 2.5),Mean,CD,414,7.6,Rockaway and Broad Channel (CD14),mcg/m3,Annual Average 2013,,2012-12-01T00:00:00.000,170455
365,Fine particles (PM 2.5),Mean,CD,302,8.3,Fort Greene and Brooklyn Heights (CD2),mcg/m3,Annual Average 2017,,2017-01-01T00:00:00.000,547675
365,Fine particles (PM 2.5),Mean,CD,112,6.9,Washington Heights and Inwood (CD12),mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742428
375,Nitrogen dioxide (NO2),Mean,UHF34,211,20.7,Williamsburg - Bushwick,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549929
375,Nitrogen dioxide (NO2),Mean,CD,107,30.6,Upper West Side (CD7),ppb,Winter 2012-13,,2012-12-01T00:00:00.000,165981
375,Nitrogen dioxide (NO2),Mean,CD,304,22.6,Bushwick (CD4),ppb,Winter 2021-22,,2021-12-01T00:00:00.000,826042
365,Fine particles (PM 2.5),Mean,CD,103,7.9,Lower East Side and Chinatown (CD3),mcg/m3,Annual Average 2018,,2018-01-01T00:00:00.000,605900
375,Nitrogen dioxide (NO2),Mean,UHF42,201,23.7,Greenpoint,ppb,Winter 2021-22,,2021-12-01T00:00:00.000,825776
375,Nitrogen dioxide (NO2),Mean,CD,410,24.1,South Ozone Park and Howard Beach (CD10),ppb,Winter 2014-15,,2014-12-01T00:00:00.000,336876
375,Nitrogen dioxide (NO2),Mean,UHF42,203,20.2,Bedford Stuyvesant - Crown Heights,ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412456
365,Fine particles (PM 2.5),Mean,UHF42,104,8.5,Pelham - Throgs Neck,mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742172
375,Nitrogen dioxide (NO2),Mean,UHF42,106,26.7,High Bridge - Morrisania,ppb,Annual Average 2011,,2010-12-01T00:00:00.000,176598
375,Nitrogen dioxide (NO2),Mean,UHF42,307,27.0,Gramercy Park - Murray Hill,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,740965
365,Fine particles (PM 2.5),Mean,CD,309,6.5,South Crown Heights and Lefferts Gardens (CD9),mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742491
375,Nitrogen dioxide (NO2),Mean,CD,412,23.1,Jamaica and Hollis (CD12),ppb,Winter 2012-13,,2012-12-01T00:00:00.000,166028
375,Nitrogen dioxide (NO2),Mean,CD,402,19.2,Woodside and Sunnyside (CD2),ppb,Annual Average 2020,,2020-01-01T00:00:00.000,667777
365,Fine particles (PM 2.5),Mean,UHF42,305,12.9,Upper East Side,mcg/m3,Summer 2009,,2009-06-01T00:00:00.000,177791
375,Nitrogen dioxide (NO2),Mean,CD,304,24.5,Bushwick (CD4),ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412739
375,Nitrogen dioxide (NO2),Mean,CD,103,26.4,Lower East Side and Chinatown (CD3),ppb,Summer 2010,,2010-06-01T00:00:00.000,166685
365,Fine particles (PM 2.5),Mean,UHF42,409,8.0,Southeast Queens,mcg/m3,Annual Average 2012,,2011-12-01T00:00:00.000,178561
365,Fine particles (PM 2.5),Mean,UHF42,402,7.1,West Queens,mcg/m3,Winter 2021-22,,2021-12-01T00:00:00.000,823239
375,Nitrogen dioxide (NO2),Mean,UHF42,203,17.1,Bedford Stuyvesant - Crown Heights,ppb,Annual Average 2021,,2021-01-01T00:00:00.000,740922
375,Nitrogen dioxide (NO2),Mean,CD,305,22.1,East New York and Starrett City (CD5),ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741208
375,Nitrogen dioxide (NO2),Mean,UHF42,410,20.7,Rockaways,ppb,Winter 2014-15,,2014-12-01T00:00:00.000,336603
365,Fine particles (PM 2.5),Mean,UHF42,403,6.5,Flushing - Clearview,mcg/m3,Annual Average 2021,,2021-01-01T00:00:00.000,742254
640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,209,1.7,Bensonhurst - Bay Ridge,number,2013,,2013-01-01T00:00:00.000,130412
643,Annual vehicle miles traveled,Million miles,CD,303,55.9,Bedford Stuyvesant (CD3),per square mile,2010,,2010-01-01T00:00:00.000,816762
365,Fine particles (PM 2.5),Mean,CD,207,10.6,Kingsbridge Heights and Bedford (CD7),mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,169474
375,Nitrogen dioxide (NO2),Mean,Borough,2,14.5,Brooklyn,ppb,Summer 2014,,2014-06-01T00:00:00.000,211376
375,Nitrogen dioxide (NO2),Mean,UHF34,204,19.5,East New York,ppb,Summer 2009,,2009-06-01T00:00:00.000,172076
375,Nitrogen dioxide (NO2),Mean,UHF42,302,21.8,Central Harlem - Morningside Heights,ppb,Summer 2012,,2012-06-01T00:00:00.000,176024
375,Nitrogen dioxide (NO2),Mean,CD,413,14.6,Queens Village (CD13),ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643711
365,Fine particles (PM 2.5),Mean,CD,409,8.8,Kew Gardens and Woodhaven (CD9),mcg/m3,Winter 2014-15,,2014-12-01T00:00:00.000,334335
365,Fine particles (PM 2.5),Mean,UHF42,307,12.4,Gramercy Park - Murray Hill,mcg/m3,Summer 2014,,2014-06-01T00:00:00.000,212818
375,Nitrogen dioxide (NO2),Mean,UHF42,308,39.6,Greenwich Village - SoHo,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,175274
375,Nitrogen dioxide (NO2),Mean,CD,304,11.8,Bushwick (CD4),ppb,Summer 2022,,2022-06-01T00:00:00.000,826043
375,Nitrogen dioxide (NO2),Mean,CD,409,21.0,Kew Gardens and Woodhaven (CD9),ppb,Annual Average 2012,,2011-12-01T00:00:00.000,167736
365,Fine particles (PM 2.5),Mean,CD,106,8.3,Stuyvesant Town and Turtle Bay (CD6),mcg/m3,Winter 2021-22,,2021-12-01T00:00:00.000,823209
375,Nitrogen dioxide (NO2),Mean,UHF42,301,23.4,Washington Heights,ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412481
