year,code,city,days_with_aqi,good,moderate,unhealthy_t,very_unhealthy,hazardous,aqi_maximum,days_co,days_no2,days_o3,days_pm205,days_pm10
2022,36045,Jefferson County- NY,360,352,8,0,0,0,84,0,0,360,0,0
2022,36047,Kings County- NY,364,240,124,0,0,0,85,0,0,0,364,0
2022,36055,Monroe County- NY,365,270,93,2,0,0,126,0,0,151,214,0
2022,36059,Nassau County- NY,361,303,58,0,0,0,68,0,0,0,361,0
2022,36061,New York County- NY,365,234,130,1,0,0,105,0,0,140,225,0
2022,36063,Niagara County- NY,358,339,18,1,0,0,133,0,0,358,0,0
2022,36065,Oneida County- NY,332,288,44,0,0,0,83,0,0,0,332,0
2022,36067,Onondaga County- NY,365,316,49,0,0,0,69,0,0,202,163,0
2022,36071,Orange County- NY,363,292,71,0,0,0,73,0,0,102,261,0
2022,36075,Oswego County- NY,354,349,5,0,0,0,58,0,0,354,0,0
2022,36079,Putnam County- NY,333,311,22,0,0,0,100,0,0,333,0,0
2022,36081,Queens County- NY,365,203,159,3,0,0,126,0,14,109,242,0
2022,36085,Richmond County- NY,365,278,86,1,0,0,105,0,0,180,185,0
2022,36087,Rockland County- NY,365,315,50,0,0,0,90,0,0,247,118,0
2022,36091,Saratoga County- NY,362,354,8,0,0,0,74,0,0,362,0,0
2022,36101,Steuben County- NY,365,326,39,0,0,0,71,0,0,210,155,0
2022,36103,Suffolk County- NY,365,272,85,8,0,0,133,0,0,242,123,0
2022,36109,Tompkins County- NY,361,349,12,0,0,0,67,0,0,361,0,0
2022,36117,Wayne County- NY,343,333,9,1,0,0,101,0,0,343,0,0
2022,36119,Westchester County- NY,365,300,65,0,0,0,100,0,0,245,120,0
2021,36001,Albany County- NY,365,254,109,2,0,0,118,0,0,139,226,0
2021,36005,Bronx County- NY,365,214,143,8,0,0,156,0,13,104,248,0
2021,36013,Chautauqua County- NY,361,300,60,1,0,0,105,0,0,318,43,0
2021,36027,Dutchess County- NY,341,323,17,1,0,0,129,0,0,341,0,0
2021,36029,Erie County- NY,365,225,139,1,0,0,101,0,2,97,266,0
2021,36031,Essex County- NY,365,310,54,1,0,0,101,0,0,336,29,0
2021,36041,Hamilton County- NY,358,343,15,0,0,0,100,0,0,358,0,0
2021,36045,Jefferson County- NY,351,332,19,0,0,0,97,0,0,351,0,0
2021,36047,Kings County- NY,365,233,131,1,0,0,154,0,0,0,365,0
2021,36055,Monroe County- NY,365,239,126,0,0,0,100,0,0,128,237,0
2021,36059,Nassau County- NY,360,291,68,1,0,0,118,0,0,0,360,0
2021,36061,New York County- NY,365,245,113,7,0,0,155,0,0,143,222,0
2021,36063,Niagara County- NY,357,330,26,1,0,0,108,0,0,357,0,0
2021,36065,Oneida County- NY,347,311,35,1,0,0,107,0,0,0,347,0
2021,36067,Onondaga County- NY,365,279,85,1,0,0,113,0,0,179,186,0
2021,36071,Orange County- NY,364,294,69,1,0,0,149,0,0,200,164,0
2021,36075,Oswego County- NY,360,337,23,0,0,0,97,0,0,360,0,0
2021,36079,Putnam County- NY,353,334,18,1,0,0,112,0,0,353,0,0
2021,36081,Queens County- NY,365,215,141,9,0,0,154,0,11,106,248,0
2021,36085,Richmond County- NY,364,264,94,6,0,0,149,0,0,156,208,0
2021,36087,Rockland County- NY,362,314,47,1,0,0,155,0,0,235,127,0
2021,36091,Saratoga County- NY,354,339,15,0,0,0,93,0,0,354,0,0
2021,36101,Steuben County- NY,365,285,79,1,0,0,124,0,0,178,187,0
2021,36103,Suffolk County- NY,365,281,73,11,0,0,154,0,0,243,122,0
2021,36109,Tompkins County- NY,360,334,25,1,0,0,105,0,0,360,0,0
2021,36117,Wayne County- NY,354,333,21,0,0,0,100,0,0,354,0,0
2021,36119,Westchester County- NY,365,307,52,6,0,0,143,0,0,256,109,0
2020,36001,Albany County- NY,365,235,127,3,0,0,143,0,0,108,257,0
2020,36005,Bronx County- NY,366,229,136,1,0,0,108,0,12,120,234,0
2020,36013,Chautauqua County- NY,363,332,31,0,0,0,93,0,0,336,27,0
2020,36027,Dutchess County- NY,331,322,9,0,0,0,87,0,0,331,0,0
2020,36029,Erie County- NY,366,278,86,2,0,0,157,0,2,148,216,0
2020,36031,Essex County- NY,365,344,21,0,0,0,80,0,0,349,16,0
2020,36041,Hamilton County- NY,357,354,3,0,0,0,54,0,0,357,0,0
2020,36045,Jefferson County- NY,360,345,15,0,0,0,90,0,0,360,0,0
2020,36047,Kings County- NY,365,300,65,0,0,0,80,0,0,0,365,0
2020,36055,Monroe County- NY,366,275,91,0,0,0,81,0,0,159,207,0
2020,36059,Nassau County- NY,361,317,44,0,0,0,75,0,0,0,361,0
2020,36061,New York County- NY,366,258,107,1,0,0,108,2,0,168,196,0
2020,36063,Niagara County- NY,359,340,19,0,0,0,87,0,0,359,0,0
2020,36065,Oneida County- NY,349,324,25,0,0,0,81,0,0,0,349,0
2020,36067,Onondaga County- NY,364,300,64,0,0,0,74,0,0,207,157,0
2020,36071,Orange County- NY,366,307,59,0,0,0,97,0,0,200,166,0
2020,36075,Oswego County- NY,359,349,10,0,0,0,58,0,0,359,0,0
2020,36079,Putnam County- NY,314,308,6,0,0,0,64,0,0,314,0,0
2020,36081,Queens County- NY,366,258,105,3,0,0,140,0,23,168,175,0
2020,36085,Richmond County- NY,364,280,82,2,0,0,108,0,0,169,195,0
2020,36087,Rockland County- NY,366,319,47,0,0,0,93,0,0,243,123,0
2020,36091,Saratoga County- NY,319,315,4,0,0,0,61,0,0,319,0,0
2020,36101,Steuben County- NY,365,330,35,0,0,0,81,0,0,245,120,0
2020,36103,Suffolk County- NY,366,282,78,6,0,0,133,0,0,243,123,0
2020,36109,Tompkins County- NY,364,359,5,0,0,0,64,0,0,364,0,0
2020,36117,Wayne County- NY,327,305,22,0,0,0,80,0,0,327,0,0
2020,36119,Westchester County- NY,363,305,57,1,0,0,105,0,0,246,117,0
2019,36001,Albany County- NY,365,276,89,0,0,0,93,0,0,138,227,0
2019,36005,Bronx County- NY,365,212,150,3,0,0,115,0,24,110,231,0
2019,36013,Chautauqua County- NY,343,302,40,1,0,0,105,0,0,300,43,0
2019,36027,Dutchess County- NY,331,319,12,0,0,0,90,0,0,331,0,0
2019,36029,Erie County- NY,365,262,103,0,0,0,93,0,10,123,232,0
2019,36031,Essex County- NY,364,327,37,0,0,0,80,0,0,357,7,0
2019,36041,Hamilton County- NY,323,321,2,0,0,0,54,0,0,323,0,0
2019,36045,Jefferson County- NY,205,198,7,0,0,0,64,0,0,205,0,0
2019,36047,Kings County- NY,365,280,85,0,0,0,78,0,0,0,365,0
2019,36055,Monroe County- NY,365,272,93,0,0,0,90,0,0,131,234,0
2019,36059,Nassau County- NY,360,308,52,0,0,0,72,0,0,0,360,0
2019,36061,New York County- NY,365,219,144,2,0,0,136,0,0,118,247,0
2019,36063,Niagara County- NY,352,339,13,0,0,0,80,0,0,352,0,0
2019,36065,Oneida County- NY,355,331,24,0,0,0,64,0,0,0,355,0
2019,36067,Onondaga County- NY,365,301,64,0,0,0,77,0,0,209,156,0
2019,36071,Orange County- NY,365,307,58,0,0,0,74,0,0,195,170,0
2019,36075,Oswego County- NY,321,316,5,0,0,0,67,0,0,321,0,0
2019,36079,Putnam County- NY,329,313,15,1,0,0,101,0,0,329,0,0
2019,36081,Queens County- NY,365,234,127,4,0,0,119,0,40,135,190,0
2019,36085,Richmond County- NY,365,275,90,0,0,0,97,0,0,172,193,0
2019,36087,Rockland County- NY,365,314,50,1,0,0,112,0,0,260,105,0
2019,36091,Saratoga County- NY,331,328,3,0,0,0,58,0,0,331,0,0
2019,36101,Steuben County- NY,365,315,50,0,0,0,69,0,0,196,169,0
2019,36103,Suffolk County- NY,365,276,80,9,0,0,150,0,0,255,110,0
2019,36109,Tompkins County- NY,356,349,7,0,0,0,61,0,0,356,0,0
2019,36117,Wayne County- NY,268,253,15,0,0,0,90,0,0,268,0,0
2019,36119,Westchester County- NY,365,309,55,1,0,0,105,0,0,255,110,0
2018,36001,Albany County- NY,365,250,113,2,0,0,112,0,0,137,228,0
2018,36005,Bronx County- NY,365,229,127,9,0,0,150,0,47,139,179,0
2018,36013,Chautauqua County- NY,358,300,54,4,0,0,126,0,0,321,37,0
2018,36027,Dutchess County- NY,349,327,20,2,0,0,156,0,0,349,0,0
2018,36029,Erie County- NY,365,220,143,2,0,0,112,0,4,117,244,0
2018,36031,Essex County- NY,365,317,46,2,0,0,108,0,0,348,17,0
2018,36041,Hamilton County- NY,352,341,11,0,0,0,97,0,0,352,0,0
2018,36045,Jefferson County- NY,329,307,20,2,0,0,105,0,0,329,0,0
2018,36047,Kings County- NY,365,271,94,0,0,0,82,0,0,0,365,0
2018,36055,Monroe County- NY,365,248,113,4,0,0,108,0,0,135,230,0
2018,36059,Nassau County- NY,365,305,60,0,0,0,93,0,0,0,365,0
2018,36061,New York County- NY,365,176,178,11,0,0,151,0,0,81,284,0
2018,36063,Niagara County- NY,320,294,25,1,0,0,101,0,0,320,0,0
2018,36065,Oneida County- NY,364,311,53,0,0,0,74,0,0,0,364,0
2018,36067,Onondaga County- NY,364,297,65,2,0,0,115,0,0,256,108,0
2018,36071,Orange County- NY,365,279,85,1,0,0,147,0,0,197,168,0
2018,36075,Oswego County- NY,350,324,25,1,0,0,112,0,0,350,0,0
2018,36079,Putnam County- NY,337,317,18,2,0,0,151,0,0,337,0,0
2018,36081,Queens County- NY,365,229,128,8,0,0,140,0,26,116,223,0
2018,36085,Richmond County- NY,363,229,128,6,0,0,136,0,0,96,267,0
2018,36087,Rockland County- NY,365,301,58,5,1,0,210,0,0,247,118,0
2018,36091,Saratoga County- NY,361,341,19,1,0,0,119,0,0,361,0,0
2018,36101,Steuben County- NY,363,313,50,0,0,0,87,3,0,258,102,0
2018,36103,Suffolk County- NY,365,254,100,11,0,0,172,0,0,215,150,0
2018,36109,Tompkins County- NY,360,332,27,1,0,0,101,0,0,360,0,0
2018,36117,Wayne County- NY,239,210,25,4,0,0,115,0,0,239,0,0
2018,36119,Westchester County- NY,365,295,58,12,0,0,169,0,0,250,115,0
